175400 2743N 09217W 6970 03118 9998 +103 +087 197058 058 037 002 00
175430 2745N 09218W 6978 03105 9987 +111 +086 199059 060 039 001 00
175500 2746N 09220W 6962 03122 9978 +115 +085 200061 064 039 001 00
175530 2748N 09221W 6978 03102 9989 +105 +086 202065 065 040 001 00
175600 2749N 09223W 6960 03117 9968 +119 +085 203064 065 042 000 00
175630 2750N 09224W 6978 03096 9973 +114 +085 200065 066 041 001 00
175700 2752N 09226W 6970 03106 9973 +113 +085 202065 066 041 001 00
175730 2753N 09227W 6964 03104 9957 +119 +085 202065 065 042 001 00
175800 2754N 09229W 6979 03088 9953 +123 +086 202066 067 044 001 00
175830 2756N 09230W 6957 03108 9953 +117 +086 202068 069 044 001 00
175900 2757N 09232W 6969 03080 9931 +128 +086 201070 070 046 000 00
175930 2759N 09234W 6976 03083 9953 +113 +087 200069 070 046 001 00
180000 2800N 09235W 6963 03084 9931 +121 +088 196070 070 047 001 00
180030 2801N 09237W 6977 03065 9927 +123 +088 197069 070 049 001 00
180100 2803N 09238W 6973 03070 9937 +112 +089 202071 072 051 002 00
180130 2804N 09240W 6970 03062 9922 +115 +090 200073 076 053 003 00
180200 2806N 09241W 6962 03073 9922 +116 +089 201076 076 053 003 00
180230 2807N 09243W 6975 03046 9920 +111 +089 200078 079 051 003 00
180300 2808N 09244W 6977 03043 9919 +109 +088 199080 081 051 003 00
180330 2810N 09246W 6968 03049 9914 +108 +088 197082 084 054 002 00
180400 2811N 09248W 6966 03045 9885 +128 +085 198083 084 057 002 00
180430 2813N 09249W 6978 03029 9869 +141 +084 204083 085 060 001 00
180500 2814N 09251W 6958 03049 9866 +136 +086 204081 083 059 002 00
180530 2815N 09252W 6970 03020 9844 +144 +089 197078 079 062 001 00
180600 2817N 09254W 6973 03018 9851 +134 +091 201084 086 063 001 00
180630 2818N 09255W 6967 03005 9848 +123 +094 202088 089 064 001 00
180700 2820N 09257W 6978 02987 9839 +123 +096 201090 091 065 001 00
180730 2821N 09259W 6964 02995 9830 +125 +096 203093 094 065 001 00
180800 2822N 09300W 6973 02980 9826 +124 +095 203097 098 063 002 00
180830 2824N 09302W 6970 02980 9825 +119 +096 202098 099 065 004 00
180900 2825N 09303W 6975 02963 9787 +142 +096 205097 099 068 003 00
180930 2827N 09305W 6962 02959 9777 +132 +097 201101 103 072 004 00
181000 2828N 09306W 6974 02931 9764 +134 +099 199101 103 074 004 00
181030 2829N 09308W 6968 02933 9725 +160 +100 206097 100 080 003 00
181100 2830N 09310W 6965 02919 9698 +169 +103 207085 092 081 004 00
181130 2830N 09311W 6966 02903 9664 +188 +107 209076 081 080 001 00
181200 2831N 09313W 6966 02896 9662 +180 +113 208076 077 078 002 00
181230 2832N 09315W 6982 02869 9651 +184 +118 206070 076 068 002 00
181300 2833N 09316W 6968 02881 9642 +185 +123 208066 069 063 002 00
181330 2834N 09318W 6970 02868 9628 +187 +128 202059 063 056 002 03
